Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Tag_clean
03/23/2019,"Credit reporting, credit repair services, or other personal consumer reports",The Summer of XX/XX/2018 I was denied a mortgage loan due to a charge off from XXXX XXXX credit card. I both mailed an account validation letter and disputed this debt with the credit bureaus and the credit card company several times. Only the credit bureaus responded that this debt was verified but showed no proof as I requested. XXXX XXXX still has not responded to any of my letters since XX/XX/2018. All I asked was that the credit bureaus show me how they verified this debt and what XXXX XXXX sent them as proof of my debt other than a bill that could be fabricated. I really need to know why I haven't been shown proof of this after multiple disputes and certified letters letters sent.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,,,Consent provided,Web,03/23/2019,Closed with explanation,Yes,,3189109,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",VA,220XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3187982,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,770XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3187954,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,787XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3188091,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,951XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3188119,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MA,027XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3187953,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",KS,662XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3188070,Credit reporting
03/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MD,209XX,,Consent provided,Web,03/22/2019,Closed with explanation,Yes,,3187977,Credit reporting
03/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","There is an account reporting on my credit report from XXXX XXXX which is saying the balance is coming from XXXX XXXX XXXX XXXX from XX/XX/2012. I never signed a joint lease with anyone, I have asked several times for a copy of this lease I supposed I signed. The credit bureau is allowing this allow to report on my credit report when it does not belong to me, Please have this account investigated and removed from my credit report. I contact the original credit XXXX XXXX and they are telling me they don't have a lease agreement with me or never had one with me. So I'm not sure where they are getting this information from. Please remove immediately. Thanks, XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,303XX,Servicemember,Consent provided,Web,03/21/2019,Closed with explanation,Yes,,3186792,Credit reporting
03/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","The reason for my writing is to inform you that this company is being unreasonable and not adhering to the law. I am a victim of identity theft. My personal information was compromised and as a result fraudulent charges were included on my accounts without my consent or authorization. I disputed this identity fraud with this company on XXXX by providing my written explanation and attaching relevant documentation e.g. Identity Theft Report, Proof of identity and Section 605B of the Fair Credit Reporting Act to proof my case. But until now, as I am writing to you, this company is still reporting these fraudulent accounts contrary to law, which gives them at least 4 days to remove it upon receipt of fraud dispute letter. Let this be a final written notice of my intent to sue this company for failing to remove fraudulent items even after receiving a well-documented dispute coupled with exhibits for reference. For yet another time I am reaching out to this company to find a concrete resolution to this matter once and for all. Failure to this I will go ahead and file my already filled small claims forms with the courts. Please REMOVE this fraudulent information from my credit report, as per 605B of the Fair Credit Reporting Act : 1.XXXX  XXXX XXXX # XXXX, Opened Date XX/XX/XXXX, Original Creditor XXXX XXXX  XXXX XXXX XXXX , High Balance {$1500.00}. 2. XXXX XXXX XXXX, ACC # XXXX, Original Creditor XXXX XXXX , Opened Date XX/XX/XXXX, Balance {$190.00}. I am attaching the dispute letter/documents I sent to this company on the XXXX and my FTC report, in case they need to reference or review.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,941XX,,Consent provided,Web,03/21/2019,Closed with explanation,Yes,,3187373,Credit reporting
03/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",XXXX and Transunion are reporting incorrectly that I am 120 days past due on a loan with the XXXX - partial account numberXXXX. This account reflects a {$0.00} balance and a {$0.00} past due. I have contacted the two bureaus and requested these coding errors be corrected. This incorrect reporting is harming my credit score. It is impossible to be past due on accounts that have a {$0.00} balance and {$0.00} past due.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,,,Consent provided,Web,03/19/2019,Closed with explanation,Yes,,3184692,Credit reporting
03/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",XXXX  and Transunion are reporting incorrectly that I am 120 days past due on loans with the XXXX  - partial account numbers XXXX ; XXXX ; XXXX ; XXXX.. These accounts reflect a {$0.00} balance and a {$0.00} past due. I have contacted the two bureaus and requested these coding errors be corrected. This incorrect reporting is harming my credit score. It is  impossible to be past due on accounts that have a {$0.00} balance and {$0.00} past due.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",LA,701XX,,Consent provided,Web,03/19/2019,Closed with explanation,Yes,,3184195,Credit reporting
03/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","There are several accounts falsely reported to my credit report. I complained to the FTC, and directly to the credit bureaus. I submitted copies of my DL, SS Card, Current Bills, ETC all to prove my identity. I asked them to match the signatures on my DL with the signatures on the accounts falsely opened in my name. 

-XXXX XXXX XXXX/XXXX XXXX XXXX : {$3400.00} -XXXX XXXX XXXX/XXXX XXXX XXXX : {$120.00} -XXXX XXXX/XXXX XXXX : {$330.00}",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,SC,292XX,,Consent provided,Web,03/18/2019,Closed with explanation,Yes,,3183544,Credit reporting
03/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","There are several accounts falsely reported to my credit report. I complained to the FTC, and directly to the credit bureaus. I submitted copies of my DL, SS Card, Current Bills, ETC all to prove my identity. I asked them to match the signatures on my DL with the signatures on the accounts falsely opened in my name. 

-XXXX XXXX XXXX XXXX XXXX : {$3400.00} -XXXX XXXX XXXX XXXX XXXX XXXX {$120.00} -XXXX XXXX XXXXXXXX : {$330.00}",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",SC,292XX,,Consent provided,Web,03/18/2019,Closed with explanation,Yes,,3183547,Credit reporting
03/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX, I sent a request to the three credit bureaus, asking them to investigate three errors on my credit report. XXXX had no problem completing this task, as I got my response back from them within a couple of weeks. For whatever reason, I still have NOT gotten my responses back from XXXX and Trans Union, and its been well over 30 days.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,,,Consent provided,Web,03/18/2019,Closed with explanation,Yes,,3183589,Credit reporting
03/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX, I sent a request to the three credit bureaus, asking them to investigate three errors on my credit report. Experian had no problem completing this task, as I got my response back from them within a couple of weeks. For whatever reason, I still have NOT gotten my responses back from XXXX and XXXX XXXX, and its been well over 30 days.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NC,,,Consent provided,Web,03/18/2019,Closed with non-monetary relief,Yes,,3183581,Credit reporting
03/18/2019,Debt collection,i never received anything stating that i owed this company money. My first time seeing this is when i pulled my credit report. Never got a notice in the mail nothing.,Company believes it acted appropriately as authorized by contract or law,First Federal Credit Control,PA,,,Consent provided,Web,03/18/2019,Closed with explanation,Yes,,3182609,Debt collection
03/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","XXXX, XXXX, and Experian need to remove the collection account for XXXX XXXX XXXX. 

I have submitted a dispute on my credit file because this debt is not valid. The original creditor can not provide the fully executed contract and refuses to provide proof that they cancelled the account was cancelled by the business. 

This is a dispute that would need to be settled by the fact-finding process of the civil court system. It is not fair for the creditor and the credit bureaus to hold my credit report hostage without sufficient evidence of this debt. The creditor did not allow me the process to dispute the debt by providing full documentation. 

Since the creditor is unable to provide a fully executed and valid contract, the file should be removed from my report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,KS,660XX,,Consent provided,Web,03/18/2019,Closed with non-monetary relief,Yes,,3183613,Credit reporting
03/17/2019,"Credit reporting, credit repair services, or other personal consumer reports",I have a personal loan from Patriot finance. They are incorrectly reporting that my loan is a derogatory status and showing as many days late. We have a payment agreement and I am paying as agreed and my account does not reflect this.,Company believes it acted appropriately as authorized by contract or law,"Patriot Finance, LLC",GA,301XX,,Consent provided,Web,03/17/2019,Closed with explanation,Yes,,3182218,Credit reporting
03/17/2019,Debt collection,"Starting in XX/XX/XXXX I started receiving calls from ability recovery solutions regarding a Medical bill they claimed wasn't paid and I told them I was approved for SSI and Medicaid in XX/XX/XXXX. I had been fighting for XXXX for a few years altogether, and they backdated the Effective date for Medicaid back to XX/XX/XXXX they told me to call the hospitals and have them pull the accounts they had sent to collections back and file them with Medicaid instead. The hospital that the bill came from told me they pulled them all back and they were paid and closed. Well, I started getting calls from the collection company, and when I said to them that debt was paid they got rude and said to send proof to them, then they might close it. But when I tried to communicate with them about it they got hateful on the phone and threating towards me, and I called the hospital the bill came from, and they said they shouldn't be collecting on that debt, and they tried to contact them. but they refused to take it off my credit report and kept calling multiple times daily threating legal action and hurting my credit and because of them, my credit score dropped down really low. Also, they never sent proof in the mail about the debt when requested",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Ability Recovery Services, LLC",GA,,,Consent provided,Web,03/17/2019,Closed with explanation,Yes,,3182593,Debt collection
03/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","Hi, The fraudulent, illegal, bogus loan-scam is STILL on my credit report!

Its been 6-years since the XXXX XXXX XXXX of XXXX loan-scam! 
They told me the loan would NOT be processed after I signed up for, then cancelled the ( 2 ) online "" classes. '' There were NO "" classes '' it was a total scam. There was NOTHING of value provided to me at all or in anyway, {$8800.00} for a hotlink to XXXX -- thats FRAUD. Take a look at the $ XXXX-Million construction-loan XXXX defaulted on -- the student-loan $ they scammed from me and other students went directly to pay the XXXX-new-building construction-loan, it was NOT used to educate me or other students. XXXX closed and had to move, and submitted false dox to reform at a new location. FRAUD!! Must be stopped! Remove this fraudulent loan its ruined my credit for the last 6 years and now I'm homeless!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,PA,190XX,,Consent provided,Web,03/17/2019,Closed with explanation,Yes,,3182614,Credit reporting
03/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","3 company with inconsistencies, violations and double jeopardy ... 
I requested to XXXX  an investigation for reporting "" past due balance '' and "" 1 month term '' in collection account from XXXX which represent a violation to FDCPA ... 
The answer from XXXX was a verification from XXXX as shown in their own report attached in this complaint.. 
XXXX is confirming with XXXX the violation ... 
I decide to call XXXX to obtain an explanation but the answer was they has been transfer or sold the account to MCCARTHY , BURGESS & WOLFF to collect the account .... 
Now XXXX is reporting to XXXX an account that is not marked as sold of transfer with a Balance ... So, XXXX  is in violation of the FCRA by reporting inaccuarate information and failing to do a proper investogation.. 
Now MCCARTHY, BURGESS & WOLFF is asking around 600 dollars over the original balance requested by XXXX at the same time is reporting another balance to XXXX ... 
Account XXXX XXXX Violation to FDCPA, Violation to FCRA and double jeopardy ... 

Attached proof of XXXX balance reported to XXXX   before and after investigation and a letter from MCCARTHY, BURGESS & WOLFF collecting another balance for the same account.",Company believes it acted appropriately as authorized by contract or law,"McCarthy, Burgess & Wolff, Inc.",NY,104XX,,Consent provided,Web,03/17/2019,Closed with explanation,Yes,,3182430,Credit reporting
03/16/2019,Debt collection,"YOUR COMPLAINT I am disputing the debt owed to Select Portfolio Servicing for Acct # XXXX under the name of XXXX XXXX. XXXX XXXX XXXX my loan on behalf of XXXX XXXX XXXX XXXX XXXX, as Indenture Trustee, for the benefit of the holders of the XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX. I dispute the legitimacy of the XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX.I have asked Select Portfolio multiple times for correct information on this trust and only receive a reponse back about who owns the trust. I need actual information on XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX to prove to me that this trust still actually exists. According to my research and in talking with reps from XXXX XXXX as well as XXXX XXXX, i can't get anybody to show me recent records of this trust. In my mind it doesn't exist and I dispute the legality of Select Portfolio Servicing actually collecting on it. I would imagine sind the are representing XXXX XXXX in collecting for this trust that they would know all about it and be able to show me evidence so that I could get this mortgage back on track with a peice of mind that my money is going where it should. If you look at my earlier complaints and the response I have gotten from Select Portfolio you will see they refuse to give me the exact information I am asking for. 
The foreclosure date of XX/XX/XXXX should be cancelled and they should give me what I need to get things moving forward.",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",GA,30040,,Consent provided,Web,03/16/2019,Closed with explanation,Yes,,3181688,Debt collection
03/16/2019,Student loan,I met the requirements for the ability to benefit to the exact letter of the law. They knowingly falsified their findings to continue to garnish my wages. I was exactly the person this law was designed for and they simply ignored the law and continue to ruin me financially. Someone needs to investigate this. We can not continue to let our politicians get away with this type of behavior. Please investigate the Department of Education and the collection agency they use to ruin peoples lives. I promise that if you investigate my case you will see that I met the requirement. I ask that you just look into my claim and the people who committed fraud to deny my claim.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"NRA Group, LLC",NV,895XX,,Consent provided,Web,03/16/2019,Closed with explanation,Yes,,3182176,Loan
03/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","There's alot of inaccurate information constantly reporting on my credit report due to the compromise of my identity, I recently disputed all the accounts inwhich are hindering me to obtain my true credit report. I have demanded that the 3 major credit bureaus to block the accounts from my file. Somehow their response was that the accounts been verified. Well that's the nature of a good fruad for something to appear true but under the surface it's not. So with that said there's no way that their investigation could have accurately proven to be correct and true. I'm now demanding that Transunion, XXXX  and XXXX  provide me with their Method of Verification into this investigation, as of my consumer rights as outlined with the FCRA, if this is not provided to me I will then file with the FTC and/ or file a suit. I would attack each and every creditor but it's not there doing it is the doing of the reporting agencies for reporting and not doing their due diligence before attaching information to people 's file. I'm demanding physical cerfied documentation for the following accounts, I also want the names and title of each employee inwhom worked and investigated these accounts. I want to know inwhom did they speak with and by what means of communication did they use. What date, day, and time. All and everything to do with these accounts if not then the 3 major credit bureaus must delete, remove, and block the accounts immediately as stated within the FCRA language. The accounts are ( # 1 ) XXXX XXXX {$2.00}, ( # 2 ) XXXX XXXX {$5.00}, ( # 3 ) XXXX XXXX XXXX XXXX {$0.00}, ( # 4 ) XXXX XXXX {$130.00}, ( # 5 ) XXXX  {$72.00}, ( # 6 ) XXXX  {$690.00}, ( # 7 ) XXXX {$960.00}, ( # 8 ) XXXX  {$960.00}, ( # 9 ) XXXX XXXX XXXX  {$30.00}, ( # 10 ) XXXX XXXX XXXX {$680.00}, ( # 11 ) XXXX  {$77.00}, ( # 12 ) XXXX XXXX XXXX {$140.00}, ( # 13 ) XXXX XXXX {$71.00}",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,,,Consent provided,Web,03/16/2019,Closed with explanation,Yes,,3181666,Credit reporting
